epoch,train_loss,val_loss,train_auroc,val_auroc,lr
0,0.39634227156919594,0.38153494582176206,0.7402508951281371,0.7320901545738521,0.0001
1,0.36631716212665333,0.3799208956559499,0.0,0.0,0.0001
2,0.35896444139480593,0.3954364806016286,0.0,0.0,0.0001
3,0.35439679712968714,0.3669546266555786,0.0,0.0,0.0001
4,0.35058887437932634,0.3568301262219747,0.0,0.0,0.0001
5,0.34728722179917726,0.35777220244407654,0.7888021565677938,0.7613598369485156,0.0001
6,0.3444129829070147,0.37648825333913166,0.0,0.0,0.0001
7,0.3420250301108641,0.3801911492347717,0.0,0.0,0.0001
8,0.3391296448174645,0.35370034669240313,0.0,0.0,0.0001
9,0.3369349241621354,0.37550729937553406,0.0,0.0,0.0001
10,0.33431321396827696,0.36432186091740926,0.8136397425556814,0.7619222436818216,0.0001
11,0.3320235844275531,0.35501673130989075,0.0,0.0,0.0001
12,0.32953443464671867,0.35775881044069924,0.0,0.0,5e-05
13,0.3211510825858397,0.3535721591154734,0.0,0.0,5e-05
14,0.3172710911287981,0.3612783836841583,0.0,0.0,5e-05
15,0.31371393398397107,0.3655040085156759,0.8460185585465905,0.7639030406937651,5e-05
